11:54:49:{47.0: 1278177, 48.0: 3813210, 49.0: 12657150, 50.0: 10358911}
13:06:54-{47.0: 281946, 48.0: 2776779, 49.0: 12096153, 50.0: 10253981}
13:20:31-{47.0: 968239, 48.0: 2470221, 49.0: 11052255, 50.0: 11447555}
18:11:23-{47.0: 160274, 49.0: 1534298, 50.0: 10345176, 51.0: 378000}
19:44:38-{47.0: 9999, 48.0: 80000, 49.0: 841642, 50.0: 8375848}
20:12:05-{48.0: 1068785, 49.0: 25545, 50.0: 7848990, 51.0: 378000}
20:37:22-{47.0: 169715, 48.0: 129299, 49.0: 259713, 50.0: 6376417}
21:15:21-{48.0: 785594, 49.0: 5902252, 50.0: 5135673, 51.0: 348000}
21:27:01-{48.0: 3038, 49.0: 10558405, 50.0: 5116078, 51.0: 348000}
22:18:51-{47.0: 11635, 48.0: 80656, 49.0: 9703997, 50.0: 4269776}
22:55:11-{48.0: 420423, 49.0: 7471663, 50.0: 3841207, 51.0: 280000}
23:17:04-{48.0: 33348, 49.0: 7182607, 50.0: 4111943, 51.0: 280000}
23:22:05-{48.0: 45162, 49.0: 6836244, 50.0: 4169721, 51.0: 400000}
23:39:48-{48.0: 6241, 49.0: 7215373, 50.0: 3869056, 51.0: 280000}
23:53:19-{48.0: 5661, 49.0: 6518965, 50.0: 3808382, 51.0: 280000}
