12:38:08-{54.0: 18279, 55.0: 1032603, 56.0: 6976065, 57.0: 7378961}
13:03:02-{53.0: 4000, 54.0: 47270, 55.0: 10632557, 56.0: 6765416}
13:15:32-{53.0: 1837, 54.0: 49825, 55.0: 10467936, 56.0: 6579410}
13:24:22-{53.0: 7008, 54.0: 3199567, 55.0: 10250292, 56.0: 6422460}
15:07:28-{54.0: 1835167, 55.0: 3440621, 56.0: 7439769, 57.0: 7506956}
18:00:23-{54.0: 32651, 55.0: 2753426, 56.0: 8610287, 57.0: 7961956}
19:03:50-{54.0: 122000, 55.0: 683083, 56.0: 9081276, 57.0: 7771956}
20:08:16-{55.0: 82059, 56.0: 7219497, 57.0: 8091956, 58.0: 15520538}
21:06:21-{54.0: 239381, 55.0: 1649367, 56.0: 7560996, 57.0: 7411956}
21:31:36-{55.0: 37076, 56.0: 7245332, 57.0: 7603456, 58.0: 15444882}
22:30:27-{54.0: 60441, 55.0: 993119, 56.0: 12242392, 57.0: 7620344}
22:51:39-{55.0: 770205, 56.0: 10203038, 57.0: 7525069, 58.0: 16034993}
23:43:42-{54.0: 353288, 55.0: 105000, 56.0: 143184, 57.0: 15319751}
