00:40:07-{55: 2226, 56: 617411, 57: 7382058, 58: 12342076}
01:18:17-{55: 542857, 56: 131330, 57: 4938396, 58: 12332540}
03:14:27-{56: 8490, 57: 92902, 58: 11611470, 59: 8805191}
03:29:49-{57: 114704, 58: 11144418, 59: 8776252, 60: 24649131}
03:53:35-{55: 69817, 56: 10754, 57: 6489, 58: 8837851}
06:25:37-{57: 88, 58: 6217778, 59: 8429963, 60: 25017593}
06:45:05-{56: 13991, 57: 6149, 58: 2768381, 59: 8398191}
06:59:41-{}
07:02:25-{55: 4772, 56: 18654, 57: 42937, 58: 2113193}
21:00:57-{55: 10955, 57: 8599496, 58: 19141436, 59: 9984001}
21:57:26-{55: 79543, 56: 85262, 57: 15318732, 58: 18900524}
22:32:34-{57: 15668449, 58: 18957409, 59: 13111787, 60: 11046182}
23:22:45-{54: 1000, 55: 502044, 56: 194095, 57: 13938013}
23:55:14-{55: 1186694, 56: 1727881, 57: 13400659, 58: 18939394}
