01:20:21-{1: [54, 24881], 2: [55, 21300], 3: [56, 17418791], 4: [57, 6805155]}
02:02:48-{1: [54, 40000], 2: [55, 174687], 3: [56, 14854450], 4: [57, 6785155]}
02:15:44-{1: [0, 0], 2: [0, 0], 3: [0, 0], 4: [0, 0]}
02:19:14-{1: [55, 1597881], 2: [56, 14845882], 3: [57, 6965155], 4: [58, 4387151]}
02:39:10-{1: [0, 0], 2: [0, 0], 3: [0, 0], 4: [0, 0]}
04:27:06-{1: [54, 45666], 2: [55, 197537], 3: [56, 9238362], 4: [57, 8987114]}
04:37:37-{1: [0, 0], 2: [0, 0], 3: [0, 0], 4: [0, 0]}
04:51:21-{1: [55, 208239], 2: [56, 8862698], 3: [57, 6907155], 4: [58, 4397733]}
07:44:12-{1: [0, 0], 2: [0, 0], 3: [0, 0], 4: [0, 0]}
08:00:41-{1: [55, 56316], 2: [56, 1238541], 3: [57, 4038364], 4: [58, 1638943]}
08:48:02-{1: [0, 0], 2: [0, 0], 3: [0, 0], 4: [0, 0]}
10:15:57-{1: [55, 538346], 2: [56, 2570141], 3: [57, 2422482], 4: [58, 4694955]}
10:26:30-{1: [0, 0], 2: [0, 0], 3: [0, 0], 4: [0, 0]}
13:45:56-{1: [55, 301146], 2: [56, 3276524], 3: [57, 3282950], 4: [58, 4604883]}
13:56:40-{1: [55, 574639], 2: [56, 3021038], 3: [57, 3398307], 4: [58, 4624883]}
15:26:52-{1: [56, 695659], 2: [57, 4762340], 3: [58, 4463799], 4: [59, 9396540]}
15:37:43-{1: [56, 15016], 2: [57, 4316018], 3: [58, 4523299], 4: [59, 9396540]}
15:59:00-{1: [0, 0], 2: [0, 0], 3: [0, 0], 4: [0, 0]}
17:28:13-{1: [55, 165869], 2: [56, 213093], 3: [57, 576008], 4: [58, 4497864]}
17:38:54-{1: [56, 15500], 2: [57, 828266], 3: [58, 13892228], 4: [59, 9519031]}
17:51:38-{1: [56, 7000], 2: [57, 1482622], 3: [58, 11481887], 4: [59, 9519031]}
19:07:54-{1: [56, 345831], 2: [57, 372767], 3: [58, 11024614], 4: [59, 9547571]}
19:18:29-{1: [55, 37091], 2: [56, 355692], 3: [57, 436698], 4: [58, 10851199]}
20:59:29-{1: [56, 77566], 2: [57, 1928093], 3: [58, 15021303], 4: [59, 4194501]}
21:10:04-{1: [55, 25000], 2: [56, 171396], 3: [57, 1217834], 4: [58, 14919070]}
21:28:18-{1: [56, 3082855], 2: [57, 3562646], 3: [58, 14890774], 4: [59, 3582444]}
22:16:06-{1: [54, 20000], 2: [55, 1772824], 3: [56, 2823253], 4: [57, 3385097]}
22:21:53-{1: [55, 881660], 2: [56, 2872141], 3: [57, 3385097], 4: [58, 15620735]}
23:00:25-{1: [55, 661378], 2: [56, 49225], 3: [57, 2858586], 4: [58, 15750978]}
23:05:42-{1: [55, 10301], 2: [56, 1269232], 3: [57, 2905669], 4: [58, 15750954]}
23:12:15-{1: [54, 20000], 2: [55, 634860], 3: [56, 1181680], 4: [57, 2814331]}
23:12:55-{1: [55, 710918], 2: [56, 1179624], 3: [57, 2814331], 4: [58, 15750930]}
23:18:58-{1: [55, 32000], 2: [56, 554834], 3: [57, 2679150], 4: [58, 15750930]}
